trainer_id,goal_tags,styles_offered,personality_traits,bio,gender,availability,age_range_min,age_range_max,certifications,education,location,last_updated,years_experience
T001,"fat loss, body recomposition, sustainable slimming","interval conditioning, metabolic circuits, conditioning blocks","high-energy, encouraging, results-driven, accountability-focused",I coach busy adults who want fat loss without extreme dieting. Sessions use interval conditioning and metabolic circuits to help clients lean out and feel confident again.,Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,Collingwood,2026-02-20,4
T002,"leaning out, physique change, healthier body composition","high-intensity conditioning, calorie-focused programming, cardio circuits","uplifting, motivational, target-oriented, check-in heavy",My coaching focuses on body recomposition and sustainable slimming through high-intensity conditioning and strong accountability.,Male,Mon-Sat mornings and evenings,18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Prahran,2026-05-08,9
T003,"sustainable fat reduction, confidence through weight change, recomposition","met-con coaching, fast turnover sessions, endurance circuits","driven, positive, keeps clients committed, performance-minded","I help clients reshape their physique with fast-paced conditioning sessions, structured progress tracking, and plenty of encouragement.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Diploma of Fitness,St Kilda,2026-05-18,8
T004,"adiposity reduction, long-term slimming, body reshaping","energy-system training, conditioning rounds, rapid pace workouts","confidence-building, energetic, habit-focused, inspiring","If your goal is to trim body fat and build confidence, I design calorie-burning programs that keep you motivated and consistent.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Diploma of Fitness,Southbank,2026-05-25,11
T005,"hypertrophy, muscular development, lean mass increase","hypertrophy programming, barbell coaching, progressive overload","process-driven, form-focused, direct, methodical","I specialise in hypertrophy and lean mass development. My programs revolve around barbell coaching, progressive overload, and precise technique.",Male,Mon-Sat mornings and evenings,18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,Footscray,2026-05-25,7
T006,"physique building, strength progression, muscle growth","resistance training plans, bodybuilding structure, heavy compound work","technical, structured, standards-based, serious","For clients chasing physique change and strength progression, I build structured resistance training plans with a technical coaching style.",Female,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Diploma of Fitness,Prahran,2026-05-17,12
T007,"hypertrophy-focused coaching, size gains, stronger movement patterns","strength periodisation, gym coaching, muscle-building blocks","precise, organised, coaching-led, performance-minded","I help people build muscular development through consistent gym programming, load progression, and direct feedback on form.",Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Diploma of Fitness,Prahran,2024-09-26,13
T008,"lean mass development, progressive overload, bodybuilding outcomes","load progression systems, free-weight coaching, physique training","disciplined, evidence-led, straightforward, detail aware","My coaching is ideal for clients who want serious muscle growth, better lifting mechanics, and measurable strength gains.",Female,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, ACE Certified, CrossFit Level 2, First Aid",Bachelor of Exercise Science,Docklands,2026-03-07,13
T009,"general wellness, habit formation, lifestyle change","foundational movement coaching, step-by-step training, approachable fitness","empathetic, calm, approachable, encouraging",I work with beginners who want to feel healthier and more active without being overwhelmed. My coaching focuses on sustainable routines and confidence building.,Male,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Diploma of Fitness,Collingwood,2026-01-24,9
T010,"sustainable health improvement, confidence building, daily movement","introductory exercise plans, simple progressions, confidence-first sessions","warm, reassuring, beginner-friendly, patient","If you are getting back into exercise, I provide approachable fitness coaching with simple progressions and plenty of encouragement.",Female,"Mon-Fri mornings, Wed-Fri evenings",18,65,"NASM CPT, Certificate IV in Fitness, First Aid",Bachelor of Exercise Science,Toorak,2025-03-07,8
